catalog_number,course_title,prerequisites,typical_term_offered,course_description,Credits
540,Privacy in Information Technology ,,Alternating Winter terms,"This course explores privacy and data protection in information technologies. Students will gain a critical understanding of privacy's role in society and tension between privacy, technology and secure. Students will learn to analyze privacy issues and design privacy-friendly and usable solutions by considering social, technical, legal and public policy aspects. 
The course starts with a historical perspective on privacy and the tensions between privacy, technology and security as well as discourse on aspects affected privacy decisions of individuals. This is followed by an overview of the privacy laws and regulations in the United States and Europe, and other countries or even between sectors. The second half of the course focuses on the design of privacy-friendly systems under considerations of legal and regulatory requirements, technological safeguards and challenges, human factors, and organizational measures,",3
542,Introduction to Health Informatics ,[],Fall,"Introduction to concepts and practices of health informatics. Topics include: a) major applications and commercial vendors; b) decision support methods and technologies; c) analysis, design, implementation, and evaluation of healthcare information systems; and d) new opportunities and emerging trends.",3
544,Introduction to Statistics and Data Analysis ,,Fall,"The purpose of this class will be to provide students with a basic understanding of statistics, that is the ability to describe various populations and draw inferences about them.  It should also sharpen individual intuition about how to read data, interpret data, and judge others' claims about data.  It should be useful to a wide variety of students both as preparation for more advanced courses and as a means to professional advancement.
Specifically, skills to be developed are:
1. Abilities to characterize population data intuitively for oneself and others.  2. Ability to draw conclusions and novel inferences from population data.  3. Ability to check assumptions of others' claims and debug their putative ""facts"".  4. Ability to look for correlations while controlling for confounding effects.  5. Overall, the chief objective is to demystify the process of inquiry into what isn't known.",3
547,Engaging with Communities ,,Fall,"Information-based community engagement work requires a special set of knowledge, skills, context sensitivity, self-awareness, and comportment. This course provides multidisciplinary approaches to soliciting, identifying, and meeting community needs to ensure truly collaborative endeavors. As a client-based course, it examines the principles, methods, and ethics to respectful, informed, and beneficial community collaboration across the engagement's lifecycle. It will highlight contextual inquiry, relevant data gathering and analysis methodologies, user centered design, project management, conflict resolution, relationship building, and other approaches to join student skillsets with community knowledge and expertise to best ensure pertinent, usable, and sustainable inputs. We will unpack key issues that can enhance, impair, and even derail engagement such as power dynamics, trust, social identities, race and class, and cultural and professional humility. Understanding community members' wants, needs, and aspirations can help information-based projects have greater impact, value, and enhance prospects for adoption and sustainability.",3
548, Principles of Software Design for Learning,,Winter,Students are introduced to the process of designing computer-based learning environments.  Students work in groups to design and prototype learning environments for real classrooms.  Attention is focused on ensuring designs are based upon sound pedagogical theory and that learning environments are embedded into curriculum.,3
549,Transformative Learning and Teaching with Technology ,,Fall,"What role does technology play in high-performance learning and teaching environments?  What are the most common mistakes schools, parents, and communities make when integrating technology into learning and teaching?  How does policy at the federal, state, local, and institutional level affect what is possible with technology?  We will explore the answers to these questions in this class as we examine ways technology has been used successfully (and not so successfully) in a variety of educational contexts.  Students are encouraged to develop critical perspectives about the uses of technology for learning and teaching.",3
552,Introduction to Accessibility ,,Fall,"This class is an introduction to accessibility. Students will engage in discourse on several models of disability, be exposed to different types of assistive technologies, and apply what they learn to real-world accessibility and technology challenges.",3
554,Consumer Health Informatics ,,Winter,"Consumer health informatics (CHI) gives health care consumers information and tools to facilitate their engagement.  Students will become familiar with, and evaluate, a range of CHI applications.  They will also assess the needs and technological practices of potential users, generate theory-informed design and implementation strategies, and select appropriate evaluation approaches.",3
559,Introduction to AR/VR Application Design ,,Fall,"This course will introduce students to Augmented Reality (AR) and Virtual Reality (VR) interfaces. This course covers basic concepts; students will create two mini-projects, one focused on AR and one on VR, using prototyping tools. The course requires neither special background nor programming experience.",3
561,Natural Language Processing ,,Fall,"Linguistics fundamentals of natural language processing (NLP), part of speech tagging, hidden Markov models, syntax and parsing, lexical semantics, compositional semantics, word sense disambiguation, machine translation. Additional topics such as sentiment analysis, text generation, and deep learning for NLP>",3
563,Game Theory ,,Fall,"Simply knowing that people behave strategically is not a recipe for success, but acquiring a framework for strategic thinking is.  This course gives students the competitive edge to anticipate, formulate and analyze strategic interactions.  You will learn how to acquire and process information to act effectively in strategic situations, based on analysis of the motivations of other participants.  You will also learn how to incentivize the motivate users, collaborators and customers to further the objectives of an organization, community or society.",3
564,SQL and Databases ,,Fall,"This course will introduce the students to beginning and intermediate database concepts to prepare the student to use databases as part of a data analysis workflow. The students will learn data modelling, SQL Syntax, understanding how to evaluate different database systems for suitability, how to evaluate and improve the performance of database operations, how to use a database in a multi-step analysis process.",1.5
568,Becoming a Data Scientist,"[""618""]",Winter,"This course provides a foundational introduction to the field of data science, equipping students with essential technical skills and an understanding of the human and ethical dimensions of the profession. Through a combination of hands-on activities, programming projects, and scenario planning, students will develop awareness for the skills needed in this career track. The course emphasizes practical programming skills and ethical case studies. These exercises are designed to reinforce core concepts and prepare students for more advanced applications in data science.",1.5
569,Creating XR Experiences,"[""559""]",--,"Students gain hands-on experience with XR project management, design, development, and evaluation by working with clients from various U-M units to create XR experiences related to research and instructional programs. Weekly class lectures, readings, discussions, and assignments help to build skills and knowledge needed for creating successful XR experiences.",3
574,Health Informatics Program Seminar ,,Fall,This course is a requirement for second year students in the Master of Health Informatics program.  It focuses on reflection and presentations associated with the internship experience.  Presentation and constructive feedback as aspects of leadership will be emphasized.,1-2
579,Building Interactive Applications ,"[""504"", ""539""]",Fall,This course introduces tools and techniques for building user interfaces that are reactive and responsive. It covers a variety of design heuristics for creating interfaces that are usable and accessible. It also teaches software design patterns to implement user interfaces at scale.,3
580,Understanding Records and Archives ,,Fall,"Provides an understanding of why societies, cultures, organizations, and individuals create and keep records.  Presents cornerstone terminology, concepts, and practices used in records management and archival administration.  Examines the evolution of methods and technologies used to create, store, organize, and preserve records and the ways in which organizations and individuals are archives and records for ongoing operations, accountability, research, litigation, and organizational memory.  Participants become familiar with the legal, policy, and ethical issues surrounding records and archives administration and become conversant with the structure, organization, and literature of the archival and records management professions.",3
581,Preserving Information Resources in a Digital Age ,"[""647"", ""580""]",Winter,"With a special focus on libraries, archives, & research collections, this course provides a comprehensive overview of information preservation. It will cover basic concepts, challenges, assessment methodologies, and good practices of preservation for continued access by present and future users. Preservation is discussed both as a distinct function and as an embedded feature of key information processing & dissemination. Students will explore core principles of preservation management and current trends & issues related to preservation and sustainability of digital collections.",3
582,Introduction to Interaction Design ,,Fall,"This course will provide students with a hands-on introduction to interaction design. The course will focus on design methods and design thinking, and will allow students to develop their design sensibilities and practical skills through a series of design exercises. The course will cover individual and group ideation techniques; and contemporary perspectives on interaction design for common platforms (e.g., web, desktop, tablet, mobile, and beyond).
The course will combine readings, lectures, and in-class exercises to convey and reinforce the intellectual content. Individual and group assignments will provide an opportunity to engage more deeply with the material. The course work may include substantial individual/group project at the end of the course or a semester-long individual project. In-class presentations, along with group critique will allow students to receive feedback from peers and instructors to improve and refine their craft. In-class discussions will rely heavily on concrete examples that are analyzed and critiqued by students and instructors alike, and are used to illustrate and reinforce the course content.",3
583,Managing Accountability Through Recordkeeping ,,Fall,"Intensive overview for managing information as a critical organizational asset and the various accountability risks associated with their neglect. Social, legal, and policy requirements such as trust, evidence, compliance, and social transformation will be examined alongside ongoing tensions between preservation and destruction, secrecy and transparency, and privacy and openness.",3
585,Scholarly Communication ,"[""647"", ""580""]",Winter,"Covers the production, access, and evaluation of scholarly information in print and digital formats. Focuses on current and historical challenges and opportunities, with emphasis on open access, peer review, modes of disseminating research and data, and the critical role of information institutions and professions in the scholarly communication landscape.",3
588,Principles of User Experience,,Fall,"Surveys basic principles of cognitive and social psychology relevant to the design and use of information systems. Focuses on important findings in social science and their implications for the design and use of information systems. Topics include the basics of human perception, memory capacity and organization, the development of skill and expertise, characteristics of everyday reasoning and decision making, social influences on behavior, and the role of emotion in user experience.",3
591,Humanitarian Innovation ,,--,"Explore the role that innovation can and does play in how community development (e.g. refugee resettlement) works in the United States. This class will focus on participatory approaches for innovation, with particular attention to issues of power, gender, inclusion and psycho-social well-being. Students will work in teams to understand current challenges in selected resettlement communities, practice co-design and prototyping skills as they attempt to solve a specific design challenge, and develop tools for enhancing co-creation among various actors in the humanitarian space in SE Ml.
",3
599,SI Project Experience,[],nan,"This project-based course requires students to demonstrate synthesis of the major theories, methods, and approaches to inquiry and/or schools of practice necessary for entry into a particular career in the information professions. Topic is assigned by section - meets concurrently with the corresponding section of 699. *Students enrolled in 599 will NOT receive Mastery Course credit towards the MSI degree*",3
594,Automotive User Experience,"[""582""]",Winter,This course provides hands-on experience with the best practices and theory that exist within Automotive User Experience (UX) design space. Students will be asked to create designs of their own to convey their understanding.,3
597,Research Foundations for MTOP,[],Fall,This MTOP course focuses on formulating good research questions; conducting a literature search; writing a literature review; engaging with theory; and framing a research paper. Students will learn the theory and practice of these aspects of doing research. Many of the course assignments are intended to help students make progress on their own master’s thesis projects. This course is partly intended to create a sense of an MTOP cohort. A portion of the classroom time will be spent on discussions about how each student’s master’s thesis projects are going.,2
602,Mathematical Foundations for Applied Data Science,"[""506"", ""504"", ""544""]",Winter,"This course builds and strengthens the mathematical foundations required to succeed in applied data science. The course will review fundamental concepts in statistics, probability, linear algebra, and calculus, and demonstrate how these concepts are applied to core approaches in data analysis.",3
605,Interdisciplinary Problem Solving ,,Fall,"""Interdisciplinary Problem Solving"" is a course offered at the Law School through the Problem Solving Initiative (PSI). (https://problemsolving.law.umich.edu/)  Through a team-based, experiential, and interdisciplinary learning model, small groups of U-M graduate and professional students work with faculty to explore and offer solutions to emerging, complex problems.",3
608,Networks ,"[""507"", ""618""]",Fall,"This course will cover topics in network analysis, from social networks to applications in information networks such as the internet.  We will introduce basic concepts in network theory, discuss metric and models, use software analysis tools to experiment with a wide variety of real-world network data, and study applications to areas such as information retrieval.  For their final project, the students will apply the concepts learned in class to networks of interest to them.",3
610,Advanced Digital Studies Seminar ,,--,"This graduate theory seminar provides a comprehensive and introduction to the major theories, themes and issues in Digital Studies. The course focuses on key canonical and contemporary texts in this emerging field. This course or its equivalent is required for student who wish to receive the Digital Studies Graduate Certificate.",3
611,Special Topics in Information ,[],Fall,,
612,Pervasive Interaction Design ,"[""582""]",Fall,"This course is advanced interaction design course the focuses on designing interactive applications for emerging mobile and context-aware technologies.  It follows a similar format to 582 (Interaction Design) in that course is studio-based, consists largely of a seminar-long group project with multiple milestones, and is supplemented by readings and discussion relevant to the topic.  Class meetings consist of brief lectures to introduce and frame course concepts, design methods, and technical tools; discussion of readings; in-class design exercises; and group work/lab time.  Some programming will be required in order to complete prototyping activities, though students have flexibility in choosing the platforms and languages used.  Programming will not be taught in the course.",3
616,Advanced Topics in Graphic Design and Communication ,"[""520""]",Fall,"This multidisciplinary, hybrid course is for those students who want/need to deepen and broaden their graphic communication skills developed in SI 520: Graphic Design. This course supports students' further professional development by enhancing their conceptual problem solving skills and technical proficiency through a set of projects.",3
617,Choice Architecture ,,Winter,"Designing a system or organization for humans requires understanding not just choice and behavior motivations (good in most cases, we hope), but also learning about the reasons we blunder and make mistakes.  Thus, even when incentives are ""aligned"" with overall system goals, there are many instances where we make poor choices because as human beings, we are all susceptible to a wide array of routine biases that can lead to an equally wide array of unwanted and unintended outcomes and decisions.  Our errors are what make us human, but up until now, they have been largely ignored by systems designers, whether these designers make complex public policy, manage a team or design an information system.  But knowing how people think, we can become choice architects who design environments that both yield better decision making on the part of users, and achieve behavior that is consistent with overall system goals while gaining a competitive design-edge.
The first goal of this course is to inform future information system professionals, designers and managers about human decision rules and their associated biases so that these insights can be incorporated into their design, business or management strategies.  Knowledge of these issues can be a significant source of competitive advantage because they are unknown to most information systems professionals and they are not taught in most I-schools.  The second goal of this course is to clarify how these results can be leveraged to create original and more effective systems and institutions that meet the designer's goals.
",3
618,Data Manipulation and Analysis ,"[""507"", ""544""]",Fall,"This course aims to help students get started with their own data harvesting, processing, aggregation, and analysis.  Data analysis is crucial to evaluating and designing solutions and applications, as well as understanding user's information needs and use.  In many cases the data we need to access is distributed online among many webpages, stored in a database, or available in a large text file.  Often these data (e.g. web server logs) are too large to obtain and/or process manually.  Instead, we need an automated way of gathering the data, parsing it, and summarizing it, before we can do more advanced analysis.  Therefore, students will learn to use Python and its modules to accomplish these tasks in a 'quick and easy' yet useful and repeatable way.  Next, students will learn techniques of exploratory data analysis, using scripting, text parsing, structured query language, regular expressions, graphing, and clustering methods to explore data.  R modules will be used to accomplish these tasks. Students will be able to make sense of and see patterns in otherwise intractable quantities of data.",3
622,Needs Assessment and Usability Evaluation ,,Winter,"Covers the key concepts of evaluation and a variety of methods used to determine the goals of a system or service, performs organizational analysis, assesses task/technology or service fit, determines ease of learning of new or existing services or systems, determines ease of use, assesses aspects of performance (including information retrieval), and evaluates the success in accomplishing the user/organizational goals. Methods include observation, survey, interviews, performance analysis, evaluation in the design/iteration cycle, usability tests, and assessment of systems in use.",4
623,Research Methods for Information Professionals ,,Winter,"Research is key in the information professions:  we assist other people conducting research, read research studies to improve practice, engage in research to evaluate tools and services, and use research in reports, funding requests, and requests for proposals.  Much of our practice rests on a base of evidence and as responsible professionals it is important that we be able to weigh that evidence and apply it appropriately in our information setting.  Information professionals also conduct research studies to assist in their work or for promotion within their organizations.  We may also become a part or larger research teams conducting research studies.  This course is designed to help you conduct and consume research studies.",3
624,"Healthcare Data Application, Analysis,  Consulting and Communication ","[""506"", ""544""]",Fall,"Step into the role of an HI data consultant, navigate technical problems, and conduct a business analysis at the level of a research project, a Quality Improvement initiative, and a wide-spread Population-level issue. For each of the 3 real world scenarios, a stakeholder will present their business objective to the class. Students will then scope the project, explore and evaluate the data, and present deliverables.",3
626,Management of Non-Profit Libraries and Information Services,,Alternating Winter terms,"This course introduces selected theories, principles and techniques of management science and their application to libraries, archives and information services in the non-profit and public sectors. Contemporary information 
practice demands proactive leadership, regardless of one's formal position. Accordingly, this course will help to prepare students to act as change agents throughout their careers. Students will gain skills in strategic planning, 
stakeholder management, non-profit financial management, human resources and organizational design for the sector, and change leadership. ",3
627,Managing Information Technology,,Alternating Winter terms,"Students will learn the roles and functions that information technology plays in an organization and how to manage these resources to meet the organization's goals. Students will also explore the 4 C’s of global work as applied to IT, incorporating critical thinking, communication, collaboration, and creativity. The course also examines the processes used in the selection, implementation, and evaluation of technology. ",3
630,Natural Language Processing: Algorithms and People ,"[""507"", ""618""]",Winter,"This course focuses on how to use machine learning techniques to understand, annotate, and generate the language we see in everyday situations.  The techniques learned in this course can be applied to any kind of text and enable turning qualitative evaluation of text in a precise quantitative measurement.  Students will learn the linguistics fundamentals of natural language processing (NLP), with specific topics of part of speech tagging, syntax and parsing, lexical semantics, topic models, and machine translation. Additional advanced topics will include sentiment analysis, crowdsourcing, and deep learning for NLP.",3
631,Agile Software Development ,,Fall,"This course provides an opportunity for students to apply skills in user experience analysis & software requirements gathering, drawing on Agile project management methodologies. These methods introduce students to tools for describing & tracking the work of a project in ways that support team collaboration, client relationship management, and the efficiency and quality of the finished project. Students will learn different agile methodologies and presentation techniques. Students will work on sample projects learning how to prioritize workflows and different client and stakeholder needs.",1.5
632,Appraisal and Collection Development ,"[""647"", ""580""]",Fall,"Covers concepts and practices collection development in archives and libraries. It provides deeper appreciation of selection practices as foundational to fulfilling institutional mandates and meeting user needs. Students will learn the various models, techniques, ethics, and policy considerations of growing and sustaining collections.",3
633,Assessment in Cultural Institutions ,,Fall,"Application of research methods in the design and implementation of assessment and evaluation of cultural heritage collections, services, programs, and tools to document and measure effectiveness, meet user needs, and social impact, including recommending actionable and specific steps to respond to study findings.",3
639,Web Archiving ,,Winter,"The World Wide Web is the primary delivery mechanism for digital content.  Preservation administrators need to be familiar with the tools and appropriate techniques for preservation of information delivered through the ""surface"" Web (static Web pages, blogs, E-mail discussion lists, etc.) and information that is part of the ""deep"" Web (e.g. databases, streaming media, and authenticated resources).  Once Web content is captured and brought into a preservation environment, preservation administrators are responsible for transforming them into persistent formats and data structures.",1.5
642,Population Health Informatics ,"[""542""]",Fall,"This course explores the foundations of population health informatics, including information architecture; data standards and confidentiality as they pertain to population health management.  This course examines key concepts related to registries, electronic health records, epidemiological databases, biosurveillance, health promotion, and quality reporting in population health management.",3
643,Instructional Skills for Information Professionals ,,Winter,"Whether creating a tutorial for a new app, leading a workshop about archival materials, hosting a webinar for students or customers, or engaging colleagues in discussions around a provocative article, information professionals are frequently involved in teaching and learning activities. To engage others means moving beyond lecturing or ""telling information"" and, instead, to think about how you can empower others' learning. You'll learn about learning theories, then get practical strategies to help you plan, execute, reflect upon, and assess learning in multiple modalities: video tutorials, discussion groups, face-to-face workshops, and online webinars. You'll select teaching topics based on the needs, interests, and challenges you will face in future employment so that you can use your projects in your portfolio.",3
644,Advanced SQL & Databases,"[""506"", ""564"", ""504""]",--,"This course will cover a number of advanced topics in SQL. We will cover normalization, window functions, sets, using json data. We will be looking at using MySQL, Oracle, Postgres, and MSSQL and comparing and contrasting the differences. We will also cover NO SQL databases like mongodb, and elasticsearch. Lastly we will interface to SQL databases and noSQL databases using python.",1.5
646,Information Economics ,,Alternating Fall terms,"Course provides a strong grounding in the economics of information goods and services. Students analyze strategic issues faced by for-profit and not-for-profit organizations: pricing, bundling, versioning, product differentiation and variety, network externalities, and rights management.",1.5
647,Information Resources and Services ,,Fall,"This course introduces the principles and practice of reference and information services and provides practical guidelines for evaluating and using a variety of information sources. The course focuses on providing students with practical experience, but it also covers how research findings related to reference interaction can be translated into practical guidelines and implemented by information professionals in various work settings. The core theme of this course revolves around understanding reference services and sources from a user information needs and seeking perspective rather than from a bibliography- or source-centered viewpoint.  Upon completion of this course, students will be able to: (1) Demonstrate the ability to conduct effective reference service interviews; (2) Identify and use appropriate reference sources to find answers to reference questions; (3) Apply criteria to be used in evaluating reference sources; (4) Demonstrate knowledge of users? information needs, seeking, and use; (5) Possess familiarity with current problems, trends, and issues in the field of reference and information services.",3
648,Evaluation and Research Methods for Health Informatics and Learning Systems ,,Fall,"This course provides a foundational introduction to empirical methods, both qualitative, that are applicable to health informatics and learning health systems, and that support both evaluation and research studies. Quantitative methods are introduced with a heavy emphasis on measurement theory and the development of measurement instruments. Each week, as new methods are introduced, they are examined through analysis of published studies, including several classic papers, of applications of information technology applied to health care, population health, and personal health. Students complete two study design exercises a key learning experiences in the course.",3
649,Information Visualization ,"[""507"", ""544""]",Fall,"Introduction to information visualization. Topics include data and image models, multidimensional and multivariate data, design principles for visualization, hierarchical, network, textual and collaborative visualization, the visualization pipeline, data processing for visualization, visual representations, visualization system interaction design, and impact of perception. Emphasizes construction of systems using graphics application programming interfaces (APIs) and analysis tools.",3
650,Information Retrieval,"[""507"", ""618""]",Fall,"Information is everywhere. We encounter it in our everyday lives in the form of E-mail, newspapers, television, the Web, and even in conversations with each other. Information is hidden in a variety of media: text, images, sounds, videos. While casual information consumers can simply enjoy its abundance and appreciate the existence of search engines that can help them find what they want, information professionals are responsible for building the underlying technology that search engines use. Building a search engine involves a lot more than indexing some documents -- information retrieval is the study of the interaction between users and large information environments. It covers concepts such as information need, documents and queries, indexing and searching, retrieval evaluation, multimedia and hypertext search, Web search, as well as bibliographical databases. In this course, students go over some classic concepts of information retrieval and then quickly jump to the current state of the art in the field, where crawlers, spiders, and hard-of-hearing personal butlers roam.",3
652,Incentives and Strategic Behavior in Computational Systems ,,--,"Modeling and analysis of strategic decision environments from combined computational and economic perspectives. Essential elements of game theory, including solution concepts and equilibrium computation. Design and analysis of mechanisms for problems motivated by areas such as electronic commerce, social computing, social choice, and information elicitation.",3
654,Critical Policy Issues in Health IT ,,--,This course will introduce the critical policy issues related to the use of Health Information Technologies (HIT) with a primary focus on the U.S. The course will explore issues from both a national perspective as well as the perspective of organizations that use these systems.,3
657,Information Technology and International Development ,,Fall,"This course will provide an intensive introduction to the field of information technology and global development, in its historical, policy, and design dimensions. Part one offers an overview of key historical and contemporary debates in international development, and an introduction to recent theoretical works on technology and development including. We explore a broad range of work from historical academic literature on development to contemporary commentary on issues such as economic growth, urban and infrastructural change, culture, environment, humanitarian issues, healthcare, and quality of life. Part two explores the growing literature on technology and development. Through readings, discussions, and course assignments, students will gain an understanding of several of the key issues being faced in the developing world, and examine the role of technology in these. Through geographically focused project and discussion groups, students will also develop specific regional or country-level knowledge and experience.",3
658,Information Architecture ,,Winter,"Everything is complex. Distinctions between physical and digital space are dissolving. Profound events in human culture unfold in places made of and from information.  The architecture of information for a Bay Area startup's new IOS app, or for a municipal government's sharepoint portal, or up in the cloud of an ""omnichannel"" enterprise is rarely somebody's specific job.  This course will examine the progression of IA theory and expand students' familiarity with architecture, architects, and architectural and critical theory. In this class you'll engage in a peculiar and spirited examination of arguments for why it ought to be. You'll learn how to apply architectural thinking and practices in complex information spaces, and how to design structures that make the complex clear.",3
659,Developing AR/VR Experiences ,"[""582"", ""539""]",Winter,"This course will focus on creating augmented reality (AR) and virtual reality (VR) interfaces that blend or substitute elements of the physical world with digital content. Given that AR/VR technologies have a high technical barrier of entry and are rapidly evolving, the course will cover methods and tools to mitigate these issues. Students will learn how to approach technical problems in interaction design, to systematically study requirements, and balance technological limitations.",3
661,Managing Health Informatics ,,Winter,"This course prepares students to take on management challenges faced in health informatics leadership roles within a variety of organizational settings.  Through a combination of seminar and case study work, it is a highly interactive course in which students have the opportunity to discuss real-world health informatics scenarios from a variety of perspectives in order to gain familiarity with different managerial approaches.  The course also draws on organizational and managerial theory to provide students with more generalized knowledge about how to be an effective leader.  Students build knowledge and develop skills to consider multiple dimensions of possible solutions to health informatics-related issues, arrive at decisions, and articulate the reasoning behind the approaches to their decision-making.  This course has a strong organizational orientation and is appropriate for any student preparing for a health informatics career that includes managerial responsibilities.",3
